Code,Año,Marca,Modelo,Precio,Millas,Version,Localizacion
MELI,2018,Fiat,Argo,445000,0,DRIVE 1.3 PACK CONECTIVIDAD,Capital Federal
MELI,2018,Fiat,Argo,445000,0,DRIVE 1.3 PACK CONECTIVIDAD,Capital Federal
MELI,2018,Fiat,Argo,450000,0,DRIVE 1.3 PACK CONECTIVIDAD,Capital Federal
MELI,2018,Fiat,Argo,480000,0,DRIVE 1.3 PACK CONECTIVIDAD,Capital Federal
MELI,2018,Fiat,Argo,570000,6600,DRIVE 1.3 PACK CONECTIVIDAD,Bs.as. Costa Atlántica
MELI,2010,Chevrolet,Astra,155000,150000,2.0 Gls,Bs.as. G.b.a. Sur
MELI,2010,Chevrolet,Astra,205000,198000,2.0 Gls,Bs.as. G.b.a. Sur
MELI,2010,Chevrolet,Astra,210000,119000,2.0 Gls,Bs.as. G.b.a. Sur
MELI,2010,Chevrolet,Astra,215000,79000,2.0 Gls,Capital Federal
MELI,2010,Chevrolet,Astra,219000,190000,2.0 Gls,Córdoba
MELI,2010,Chevrolet,Astra,220000,150000,2.0 Gls,Bs.as. G.b.a. Norte
MELI,2010,Chevrolet,Astra,220000,165000,2.0 Gls,Córdoba
MELI,2010,Chevrolet,Astra,229000,100000,2.0 Gls,Bs.as. G.b.a. Oeste
MELI,2010,Chevrolet,Astra,230000,113300,2.0 Gls,Bs.as. G.b.a. Oeste
MELI,2010,Chevrolet,Astra,230000,130000,2.0 Gls,Bs.as. G.b.a. Oeste
MELI,2010,Chevrolet,Astra,230000,155000,2.0 Gls,Córdoba
MELI,2010,Chevrolet,Astra,235000,67800,2.0 Gls,Buenos Aires Interior
MELI,2010,Chevrolet,Astra,240000,147000,2.0 Gls,Bs.as. G.b.a. Oeste
MELI,2010,Chevrolet,Astra,240000,119965,2.0 Gls,Capital Federal
MELI,2010,Chevrolet,Astra,247000,144000,2.0 Gls,Capital Federal
MELI,2010,Chevrolet,Astra,250000,132000,2.0 Gls,Córdoba
MELI,2010,Chevrolet,Astra,260000,80000,2.0 Gls,Mendoza
MELI,2010,Chevrolet,Astra,260000,94000,2.0 Gls,Bs.as. G.b.a. Norte
MELI,2010,Chevrolet,Astra,260000,94000,2.0 Gls,Bs.as. G.b.a. Norte
MELI,2010,Chevrolet,Astra,270000,142000,2.0 Gls,Buenos Aires Interior
MELI,2010,Chevrolet,Astra,280000,55000,2.0 Gls,Bs.as. G.b.a. Sur
MELI,2010,Chevrolet,Astra,320000,62000,2.0 Gls,Santa Fe
MELI,2018,Fiat,Cronos,112000,1,1.8 16v Precision,Bs.as. Costa Atlántica
MELI,2018,Fiat,Cronos,112000,1,1.8 16v Precision,Bs.as. G.b.a. Sur
MELI,2018,Fiat,Cronos,112000,1,1.8 16v Precision,Río Negro
MELI,2018,Fiat,Cronos,120000,1,1.8 16v Precision,Misiones
MELI,2018,Fiat,Cronos,280000,0,1.8 16v Precision,Tucumán
MELI,2018,Fiat,Cronos,294180,0,1.8 16v Precision,Capital Federal
MELI,2018,Fiat,Cronos,356000,0,1.8 16v Precision,Capital Federal
MELI,2018,Fiat,Cronos,360000,0,1.8 16v Precision At6 Pack Premium,Bs.as. G.b.a. Oeste
MELI,2018,Fiat,Cronos,360385,0,1.8 16v Precision,Bs.as. G.b.a. Sur
MELI,2018,Fiat,Cronos,361000,0,1.8 16v Precision,Bs.as. G.b.a. Sur
MELI,2018,Fiat,Cronos,368272,0,1.8 16v Precision,Jujuy
MELI,2018,Fiat,Cronos,371000,0,1.8 16v Precision,Capital Federal
MELI,2018,Fiat,Cronos,371000,0,1.8 16v Precision,Capital Federal
MELI,2018,Fiat,Cronos,371000,0,1.8 16v Precision,Bs.as. G.b.a. Sur
MELI,2018,Fiat,Cronos,371000,0,1.8 16v Precision,Capital Federal
MELI,2018,Fiat,Cronos,390000,0,1.8 16v Precision Pack Premium,Capital Federal
MELI,2018,Fiat,Cronos,390000,0,1.8 16v Precision,Bs.as. G.b.a. Sur
MELI,2018,Fiat,Cronos,428000,0,1.8 16v Precision At6,Capital Federal
MELI,2018,Fiat,Cronos,428000,0,1.8 16v Precision At6,Capital Federal
MELI,2018,Fiat,Cronos,428000,0,1.8 16v Precision At6,Bs.as. G.b.a. Sur
MELI,2018,Fiat,Cronos,428000,0,1.8 16v Precision At6,Capital Federal
MELI,2018,Fiat,Cronos,428000,0,1.8 16v Precision At6,Capital Federal
MELI,2018,Fiat,Cronos,428000,0,1.8 16v Precision At6,Bs.as. G.b.a. Sur
MELI,2018,Fiat,Cronos,434600,0,1.8 16v Precision,Bs.as. Costa Atlántica
MELI,2018,Fiat,Cronos,453000,0,1.8 16v Precision,Capital Federal
MELI,2018,Fiat,Cronos,459000,0,1.8 16v Precision,Bs.as. G.b.a. Sur
MELI,2018,Fiat,Cronos,489500,0,1.8 16v Precision Pack Premium,La Rioja
MELI,2018,Fiat,Cronos,498800,0,1.8 16v Precision At6 Pack Premium,Bs.as. G.b.a. Sur
MELI,2018,Fiat,Cronos,499000,0,1.8 16v Precision At6 Pack Premium,Capital Federal
MELI,2018,Fiat,Cronos,499999,0,1.8 16v Precision,Capital Federal
MELI,2018,Fiat,Cronos,514361,0,1.8 16v Precision Pack Premium,Mendoza
MELI,2018,Fiat,Cronos,514361,0,1.8 16v Precision Pack Premium,Tucumán
MELI,2018,Fiat,Cronos,514361,0,1.8 16v Precision Pack Premium,La Rioja
MELI,2018,Fiat,Cronos,514361,0,1.8 16v Precision Pack Premium,Santa Fe
MELI,2018,Fiat,Cronos,514361,0,1.8 16v Precision Pack Premium,Capital Federal
MELI,2018,Fiat,Cronos,514500,0,1.8 16v Precision Pack Premium,Tucumán
MELI,2018,Fiat,Cronos,514500,0,1.8 16v Precision Pack Premium,Mendoza
MELI,2018,Fiat,Cronos,514500,0,1.8 16v Precision Pack Premium,Neuquén
MELI,2018,Fiat,Cronos,514500,0,1.8 16v Precision Pack Premium,Neuquén
MELI,2018,Fiat,Cronos,514500,0,1.8 16v Precision Pack Premium,Formosa
MELI,2018,Fiat,Cronos,514500,0,1.8 16v Precision Pack Premium,Santa Cruz
MELI,2018,Fiat,Cronos,515000,0,1.8 16v Precision Pack Premium,Capital Federal
MELI,2018,Fiat,Cronos,520000,1,1.8 16v Precision,Capital Federal
